iso2,year,population,source
MA,2025,38430770,World Bank SP.POP.TOTL
MC,2025,38341,World Bank SP.POP.TOTL
MD,2025,2360527,World Bank SP.POP.TOTL
ME,2025,623129,World Bank SP.POP.TOTL
MF,2025,24941,World Bank SP.POP.TOTL
MG,2025,32740678,World Bank SP.POP.TOTL
MH,2025,36282,World Bank SP.POP.TOTL
MK,2025,1820909,World Bank SP.POP.TOTL
ML,2025,25198821,World Bank SP.POP.TOTL
MM,2025,54850648,World Bank SP.POP.TOTL
MN,2025,3568978,World Bank SP.POP.TOTL
MO,2025,685900,World Bank SP.POP.TOTL
MP,2025,43541,World Bank SP.POP.TOTL
MQ,2025,359419,Eurostat demo_r_d2jan (1 January)
MR,2025,5315065,World Bank SP.POP.TOTL
MS,2024,5468,CIA World Factbook
MT,2025,579704,World Bank SP.POP.TOTL
MU,2025,1243741,World Bank SP.POP.TOTL
MV,2025,529676,World Bank SP.POP.TOTL
MW,2025,22216120,World Bank SP.POP.TOTL
MX,2025,131946900,World Bank SP.POP.TOTL
MY,2025,35977838,World Bank SP.POP.TOTL
MZ,2025,35631653,World Bank SP.POP.TOTL
NA,2025,3092816,World Bank SP.POP.TOTL
NC,2025,295333,World Bank SP.POP.TOTL
NE,2025,27917831,World Bank SP.POP.TOTL
NG,2025,237527782,World Bank SP.POP.TOTL
NI,2025,7007502,World Bank SP.POP.TOTL
NL,2025,18087633,World Bank SP.POP.TOTL
NO,2025,5610870,World Bank SP.POP.TOTL
NP,2025,29618118,World Bank SP.POP.TOTL
NR,2025,12025,World Bank SP.POP.TOTL
NU,2024,1815,CIA World Factbook
NZ,2025,5324700,World Bank SP.POP.TOTL
OM,2025,5494691,World Bank SP.POP.TOTL
PA,2025,4571189,World Bank SP.POP.TOTL
PE,2025,34576665,World Bank SP.POP.TOTL
PF,2025,282465,World Bank SP.POP.TOTL
PG,2025,10762817,World Bank SP.POP.TOTL
PH,2025,116786962,World Bank SP.POP.TOTL
PK,2025,255219554,World Bank SP.POP.TOTL
PL,2025,36435861,World Bank SP.POP.TOTL
PM,2025,5070,CIA World Factbook
PR,2025,3184835,World Bank SP.POP.TOTL
PS,2025,5413596,World Bank SP.POP.TOTL
PT,2025,10804871,World Bank SP.POP.TOTL
PW,2025,17663,World Bank SP.POP.TOTL
PY,2025,7013078,World Bank SP.POP.TOTL
QA,2025,2972215,World Bank SP.POP.TOTL
RE,2025,904180,Eurostat demo_r_d2jan (1 January)
RO,2025,19020271,World Bank SP.POP.TOTL
RS,2025,6549143,World Bank SP.POP.TOTL
RU,2025,143513328,World Bank SP.POP.TOTL
RW,2025,14569341,World Bank SP.POP.TOTL
SA,2025,36973555,World Bank SP.POP.TOTL
SB,2025,838645,World Bank SP.POP.TOTL
SC,2025,122730,World Bank SP.POP.TOTL
SD,2025,51662147,World Bank SP.POP.TOTL
SE,2025,10596620,World Bank SP.POP.TOTL
SG,2025,6111175,World Bank SP.POP.TOTL
SI,2025,2130986,World Bank SP.POP.TOTL
SJ,2025,2556,CIA World Factbook
SK,2025,5413813,World Bank SP.POP.TOTL
SL,2025,8819794,World Bank SP.POP.TOTL
SM,2025,34109,World Bank SP.POP.TOTL
SN,2025,18931966,World Bank SP.POP.TOTL
SO,2025,19654739,World Bank SP.POP.TOTL
SR,2025,639850,World Bank SP.POP.TOTL
SS,2025,12188788,World Bank SP.POP.TOTL
ST,2025,240254,World Bank SP.POP.TOTL
SV,2025,6365503,World Bank SP.POP.TOTL
SX,2025,43923,World Bank SP.POP.TOTL
SY,2025,25620427,World Bank SP.POP.TOTL
SZ,2025,1256174,World Bank SP.POP.TOTL
TC,2025,46855,World Bank SP.POP.TOTL
TD,2025,21003705,World Bank SP.POP.TOTL
TG,2025,8591626,World Bank SP.POP.TOTL
TH,2025,71619863,World Bank SP.POP.TOTL
TJ,2025,10786734,World Bank SP.POP.TOTL
TL,2025,1418517,World Bank SP.POP.TOTL
TM,2025,7618847,World Bank SP.POP.TOTL
TN,2025,12348573,World Bank SP.POP.TOTL
TO,2025,103742,World Bank SP.POP.TOTL
TR,2025,85878556,World Bank SP.POP.TOTL
TT,2025,1367764,World Bank SP.POP.TOTL
TV,2025,9492,World Bank SP.POP.TOTL
TW,2025,23600776,CIA World Factbook
TZ,2025,70545865,World Bank SP.POP.TOTL
UA,2025,38980376,World Bank SP.POP.TOTL
UG,2025,51384894,World Bank SP.POP.TOTL
US,2025,341784857,World Bank SP.POP.TOTL
UY,2025,3384688,World Bank SP.POP.TOTL
UZ,2025,37053428,World Bank SP.POP.TOTL
VA,2024,1000,CIA World Factbook
VC,2025,99924,World Bank SP.POP.TOTL
VE,2025,28516896,World Bank SP.POP.TOTL
VG,2025,39732,World Bank SP.POP.TOTL
VI,2025,103792,World Bank SP.POP.TOTL
VN,2025,101598527,World Bank SP.POP.TOTL
VU,2025,335169,World Bank SP.POP.TOTL
WS,2025,219306,World Bank SP.POP.TOTL
XK,2025,1576876,World Bank SP.POP.TOTL
YE,2025,41773878,World Bank SP.POP.TOTL
YT,2025,329208,Eurostat demo_r_d2jan (1 January)
ZA,2025,64747319,World Bank SP.POP.TOTL
ZM,2025,21913874,World Bank SP.POP.TOTL
ZW,2025,16950795,World Bank SP.POP.TOTL
